term,phrase,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17,tag18,tag19,tag20,tag21,tag22,tag23,tag24,tag25,tag26,tag27,tag28,tag29,tag30,tag31,tag32,tag33,tag34,tag35,tag36,tag37,tag38,tag39,tag40,tag41,tag42,tag43,tag44,tag45,tag46,tag47,tag48,tag49,tag50,tag51,tag52,tag53,tag54,tag55,tag56,tag57,tag58,tag59,tag60,tag61,tag62,tag63,tag64,tag65,tag66,tag67,tag68,meaninglanguage1,meaning1,meaninglanguage2,meaning2
glatt,"...was, das wird schon glatt gehen, du wirst sehen...",Adjektiv,Adverb,adjektiv,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(adj) smooth, even, straight (adv) smoothly",,
kunstreiterin,"Effi, du möchtest wohl Kunstreiterin werden!“, rief die Mutter.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"цирковая наездница, исполняющая трюки",,
vereinbaren,einen Termin beim Augenarzt vereinbaren,verb,präsens,wir,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"v. arrange, organize, agree, come to an agreement,",,
aufhört,"zu sein, damit sie aufhört zu weinen",Adjektiv,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,(er/sie/es) stop,,
schuld,Aber wer ist daran schuld?,Adjektiv,Substantiv,adjektiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(die, -en) n. blame, guilt",,
wild,...Mama und küsste sie wild.,Adjektiv,Substantiv,adjektiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"wildly, savagely, with passion",,
verabschiede,verabschiede sie und genieße meinen,verb,ich,präsens,verabschieden,Adjektiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,(ich) say goodbye,,
fang,,verb,du,imperativ präsens,abfangen,anfangen,auffangen,einfangen,fangen,Adjektiv,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(der) catch, haul",ru,"(der) ловля, улов, добыча"
gedichte,,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,Poems/Poetry,en,"(das, -e) n.pl. poetry, poems, verses"
auswählen,"Sie können den Tutor auswählen, mit dem Sie reden...",verb,ich,futur,Substantiv,verb,futur,ich,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"choose, select, pick, make a choice, single",,
eingestiegen,bin in den Bus eingestiegen,Adjektiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,to get in,,
